890 004 2	***						.	.	.	.	.	..
890 007 1	***						.	.	.	.	.	..
890 008 1	***						.	.	.	.	.	..
890 011 2	***						.	.	.	.	.	..
890 012 1	***						.	.	.	.	.	..
890 014 1	***						.	.	.	.	.	..
890 020 1	***						.	.	.	.	.	..
890 024 2	***						.	.	.	.	.	..
890 028 1	***						.	.	.	.	.	..
890 032 1	***						.	.	.	.	.	..
890 037 1	***						.	.	.	.	.	..
Pre-Dissertator's Research Course Total 16		.  .  .  .  .  .		.	68.8	6.3	.	.	25.0		.  .	.  .
Materials Research Seminar 900 001 17		......	.		.	.	100.0	.	.	.	.	..
990 001 4	***						.	.	.	.	.	..
990 003 4	***						.	.	.	.	.	..
990 004 1	***						.	.	.	.	.	..
990 005 2	***						.	.	.	.	.	..
990 008 5	***						.	.	.	.	.	..
990 009 1	***						.	.	.	.	.	..
990 010 1	***						.	.	.	.	.	..
990 011 2	***						.	.	.	.	.	..
990 012 2	***						.	.	.	.	.	..
990 013 2	***						.	.	.	.	.	..
990 021 3	***						.	.	.	.	.	..
990 022 1	***						.	.	.	.	.	..
990 026 1	***						.	.	.	.	.	..
990 031 1	***						.	.	.	.	.	..
August 24, 2020												Page 149 of 447
* Please note: This report does not combine crosslisted courses												
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.												
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"												
TERM : 1204		Percentage Distribution of Grades									Office of the Registrar	
Spring 2019-2020		University of Wisconsin - Madison										
""		(Non-Cross Listed)										
EGR												
MATERIALS SCI AND ENGINEERI Section #	Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P	I	NW	NR Other
636 M S & E Grades	GPA											
Research and Thesis Course Total 30		.  .  .  .  .  .	.		93.3	.	.	.	6.7		.  .	.  .
636 M S & E Dept. Total 722	3.620	44.7 19.8 12.6 1.7 0.6 0.4	0.3		15.2	0.6	2.4	.	1.5	0.3	.	.  .
Summary by Level #	Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P	I	NW	NR Other
GPA636 M S & EGrades												
Freshmen 1	***						.	.	.		.  .	.  .
Sophomore 7	3.611	42.9 28.6 14.3 .  .  .	.		14.3	.	.	.	.		.  .	.  .
Junior 176	3.619	50.6 20.5 17.6 1.7 .  0.6	.		6.8	1.7	.	.	.	0.6	.	.  .
Senior 322	3.602	46.9 25.2 15.5 2.2 1.2 0.6	.		8.4	.	.	.	.		.  .	.  .
Undergraduates 506	3.608	48.0 23.5 16.2 2.0 0.8 0.6	.		8.1	0.6	.	.	.	0.2	.	.  .
Special 8	2.525	25.0 25.0 12.5 .  .  .	25.0		.	.	.	.	.	12.5	.	.  .
Graduate 208	3.758	37.5 10.6 3.8 1.0 .  .	.		33.2	0.5	8.2	.	5.3		.  .	.  .
Dept. Total 722	3.620	44.7 19.8 12.6 1.7 0.6 0.4	0.3		15.2	0.6	2.4	.	1.5	0.3	.	.  .
August 24, 2020												Page 150 of 447
* Please note: This report does not combine crosslisted courses												
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.												
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"												
TERM : 1204			Percentage Distribution of Grades										Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison											
""			(Non-Cross Listed)											
EGR														
NUCLEAR ENGINEERING Section	"#"	Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P		I	NW	NR Other
684 N E Grades		GPA												
Cooperative Education Prog 1 001	1	***						.	.	.		.	.	..
Nuclear Reactor Theory 405 001	20	3.289	35.0 10.0 30.0 15.0 5.0 .	.		5.0	.	.	.	.		.	.	..
Ionizing Radiation 408 001	24	3.370	45.8 16.7 20.8 4.2 .8.3	.		4.2	.	.	.	.		.	.	..
Nuclear Reactor Design 412 001	11	3.313	27.3 27.3 9.1 ..9.1	.		27.3	.	.	.	.		.	.	..
Nuclear Instrumentation Lab 427 001	8	3.813	75.0 12.5 12.5 ...	.		.	.	.	.	.		.	.	..
Nuclear Reactor Laboratory 428 001	11	3.000	9.1 9.1 9.1 9.1 9.1 .	.		45.5	.	.	.	.		9.1	.	..
Monte Carlo Radiatn Transport 506 001	7	3.500	28.6 .28.6 ...	.		28.6	14.3	.	.	.		.	.	..
Introduction to Plasmas 525 001	4	***						.	.	.		.	.	..
Lab Course in Plasmas 526 001	5	***						.	.	.		.	.	..
Plasma Confinement&Heating 527 001	8	3.813	62.5 37.5 ....	.		.	.	.	.	.		.	.	..
Econ&Envr Aspect-Nuc Energy 571 001	18	3.100	16.7 33.3 16.7 5.6 .11.1	.		16.7	.	.	.	.		.	.	..
Special Topics-Reactor Engr 602 001	6	3.500	.83.3 ....	.		16.7	.	.	.	.		.	.	..
699 013	1	***						.	.	.		.	.	..
699 030	4	***						.	.	.		.	.	..
699 037	6	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
699 039	1	***						.	.	.		.	.	..
699 049	1	***						.	.	.		.	.	..
Advanced Independent Study Course Total	13	3.935	92.3 7.7 .  .  .  .		.	.	.	.	.	.			.  .	.  .
Soc Risk Mgmt-Tech Hazards 708 001	4	***						.	.	.		.	.	..
Plasma Magnetohydrodynamics 726 001	1	***						.	.	.		.	.	..
790 013	1	***						.	.	.		.	.	..
790 015	1	***						.	.	.		.	.	..
790 029	4	***						.	.	.		.	.	..
790 031	1	***						.	.	.		.	.	..
790 051	1	***						.	.	.		.	.	..
Master's Research & Thesis Course Total	8		.  .  .  .  .  .		.	75.0	12.5	.	.	12.5			.  .	.  .
890 009	1	***						.	.	.		.	.	..
890 010	3	***						.	.	.		.	.	..
890 013	5	***						.	.	.		.	.	..
890 014	2	***						.	.	.		.	.	..
890 015	1	***						.	.	.		.	.	..
890 016	4	***						.	.	.		.	.	..
890 018	9		......	.		100.0	.	.	.	.		.	.	..
890 022	2	***						.	.	.		.	.	..
890 023	1	***						.	.	.		.	.	..
890 029	2	***						.	.	.		.	.	..
890 038	1	***						.	.	.		.	.	..
890 039	2	***						.	.	.		.	.	..
Pre-Dissertator's Research Course Total	33		.  .  .  .  .  .		.	87.9	3.0	.	.	9.1			.  .	.  .
Seminar in Plasma Physics 922 001	2	***						.	.	.		.	.	..
990 009	1	***						.	.	.		.	.	..
August 24, 2020														Page 151 of 447
* Please note: This report does not combine crosslisted courses														
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.														
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"														
TERM : 1204			Percentage Distribution of Grades									Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison										
""			(Non-Cross Listed)										
EGR													
NUCLEAR ENGINEERING Section #		Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P	I	NW	NR Other
684 N E Grades		GPA											
990 013 2		***						.	.	.	.	.	..
990 015 1		***						.	.	.	.	.	..
990 018 3		***						.	.	.	.	.	..
990 022 1		***						.	.	.	.	.	..
990 029 1		***						.	.	.	.	.	..
990 036 2		***						.	.	.	.	.	..
990 051 2		***						.	.	.	.	.	..
990 068 1		***						.	.	.	.	.	..
Research and Thesis Course Total 14			.  .  .  .  .  .		.	92.9	.	.	.	7.1		.  .	.  .
684 N E Dept. Total 198		3.473	32.8 14.1 9.6 3.0 1.0 2.5		.	32.3	1.5	.	.	2.5	0.5	.	.  .
Summary by Level #		Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P	I	NW	NR Other
GPA684 N EGrades													
Sophomore 1		***						.	.	.		.  .	.  .
Junior 7		4.000	100.0 .  .  .  .  .		.	.	.	.	.	.		.  .	.  .
Senior 92		3.267	30.4 19.6 17.4 6.5 2.2 5.4		.	16.3	1.1	.	.	.	1.1	.	.  .
Undergraduates 100		3.313	36.0 18.0 16.0 6.0 2.0 5.0		.	15.0	1.0	.	.	.	1.0	.	.  .
Special 1		***						.	.	.		.  .	.  .
Graduate 98		3.791	28.6 10.2 3.1 .  .  .		.	51.0	2.0	.	.	5.1		.  .	.  .
Dept. Total 199		3.473	32.7 14.1 9.5 3.0 1.0 2.5		.	32.7	1.5	.	.	2.5	0.5	.	.  .
August 24, 2020													Page 152 of 447
* Please note: This report does not combine crosslisted courses													
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.													
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"													
TERM : 1204			Percentage Distribution of Grades							Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison								
""			(Non-Cross Listed)								
EGR											
EGR College Total	13984	3.689	51.3 18.6 9.4 1.6 0.6 0.4	0.1	15.6	0.8	0.4	.	1.1	0.2 0.0	0.1 .
Summary by College/School	"#"	Ave	A AB B BC C D	F	S/SD	U/UD	CR	N	P	I NW	NR Other
EGR	Grades	GPA									
Freshmen	147	3.765	63.9 13.6 8.8 0.7 0.7 .	.	11.6	0.7	.	.	.	.  .	.  .
Sophomore	1153	3.683	57.6 16.1 9.5 1.6 0.7 0.2	0.2	11.5	2.4	.	.	.	0.2 .	.  .
Junior	2802	3.655	51.2 21.2 12.0 1.4 0.1 0.2	0.0	12.3	1.3	0.1	.	.	0.1 .	.  .
Senior	7125	3.678	53.3 20.1 10.3 1.7 0.6 0.6	0.0	12.4	0.5	0.3	.	.	0.1 0.0	.  .
Undergraduates	11227	3.674	53.4 19.9 10.6 1.6 0.5 0.4	0.0	12.3	0.9	0.2	.	.	0.1 0.0	.  .
Special	256	3.382	50.8 14.8 12.1 9.0 4.7 2.7	1.2	2.7	0.4	0.4	.	.	1.2 .	.  .
Graduate	2871	3.807	46.5 11.3 3.5 0.4 0.3 0.1	0.0	29.6	0.4	2.2	.	5.2	0.3 0.0	0.2 .
Prof Yr 2	5	***					.	.	20.0	.  .	.  .
Prof Yr 3	4	***					.	.	25.0	.  .	.  .
Prof Yr 4	1	***					.	.	100.0	.  .	.  .
Professionals	10	4.000	40.0 .  .  .  .  .	.	30.0	.	.	.	30.0	.  .	.  .
College Total	14364	3.689	51.9 18.1 9.2 1.5 0.5 0.4	0.1	15.6	0.8	0.6	.	1.1	0.2 0.0	0.0 .
August 24, 2020											Page 153 of 447
* Please note: This report does not combine crosslisted courses											
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.											
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"											
TERM : 1204			Percentage Distribution of Grades									Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison										
""			(Non-Cross Listed)										
HEC													
HUMAN DEVEL & FAMILY STUDI Section	"#"	Ave	A AB B BC C D	F	S/SD	U/UD	CR	N	P		I	NW	NR Other
230 HDFS Grades		GPA											
Development of Young Child 362 001	262	3.819	72.5 10.7 9.2 1.1 0.4 .	.	5.7	0.4	.	.	.		.	.	..
Develp: Adolescence-Old Age 363 001	252	3.813	70.2 16.7 6.0 1.2 ..	0.4	5.2	0.4	.	.	.		.	.	..
Rsch Meth in Hum Devel&Fam St 425 001	29	3.907	79.3 10.3 3.4 ...	.	6.9	.	.	.	.		.	.	..
469 001	41	3.890	85.4 7.3 7.3 ...	.	.	.	.	.	.		.	.	..
469 002	46	3.967	95.7 2.2 2.2 ...	.	.	.	.	.	.		.	.	..
Family&Com Influences-Child Course Total	87	3.931	90.8 4.6 4.6 .  .  .	.	.	.	.	.	.			.  .	.  .
Parent-Child Relations 471 001	48	3.815	70.8 18.8 4.2 .2.1 .	.	2.1	.	.	.	.		2.1	.	..
474 001	47	3.957	93.6 4.3 2.1 ...	.	.	.	.	.	.		.	.	..
474 002	48	3.926	87.5 6.3 4.2 ...	.	2.1	.	.	.	.		.	.	..
Racial Ethnic Families in U.S. Course Total	95	3.941	90.5 5.3 3.2 .  .  .	.	1.1	.	.	.	.			.  .	.  .
Special Topics 501 002	30	3.897	86.7 3.3 3.3 3.3 ..	.	3.3	.	.	.	.		.	.	..
Family Perspctv-Policymakng 535 001	36	3.833	77.8 16.7 2.8 .2.8 .	.	.	.	.	.	.		.	.	..
Research Experience in HDFS 592 001	15	3.982	93.3 6.7 ....	.	.	.	.	.	.		.	.	..
Internship 601 002	58	3.974	96.6 1.7 1.7 ...	.	.	.	.	.	.		.	.	..
650 001	33	3.952	87.9 3.0 3.0 ...	.	3.0	.	.	.	.		.	3.0	..
650 002	37	3.892	83.8 10.8 5.4 ...	.	.	.	.	.	.		.	.	..
Parent Educ & Support Programs Course Total	70	3.919	85.7 7.1 4.3 .  .  .	.	1.4	.	.	.	.			.  1.4	.  .
Developmental & Fam Assessment 663 001	32	3.953	90.6 9.4 ....	.	.	.	.	.	.		.	.	..
Senior Thesis 690 033	1	***					.	.	.		.	.	..
699 011	1	***					.	.	.		.	.	..
699 016	1	***					.	.	.		.	.	..
699 045	1	***					.	.	.		.	.	..
Independent Study Course Total	3	***											
Theory & Issues-Human Dev 725 001	8	4.000	100.0 .....	.	.	.	.	.	.		.	.	..
Ethnic/Racial Social Dev 726 001	2	***					.	.	.		.	.	..
Current Topics in HDFS 766 003	13	4.000	100.0 .....	.	.	.	.	.	.		.	.	..
Attachment Thry & Relationship 818 001	10	4.000	100.0 .....	.	.	.	.	.	.		.	.	..
Capstone Smr in Prevention Sci 881 001	3	***					.	.	.		.	.	..
990 011	3	***					.	.	.		.	.	..
990 033	2	***					.	.	.		.	.	..
990 039	2	***					.	.	.		.	.	..
990 040	4	***					.	.	.		.	.	..
990 043	2	***					.	.	.		.	.	..
990 044	4	***					.	.	.		.	.	..
990 045	1	***					.	.	.		.	.	..
Research and Thesis Course Total	18		.  .  .  .  .  .	.	77.8	.	.	.	22.2			.  .	.  .
999 039	1	***					.	.	.		.	.	..
999 046	2	***					.	.	.		.	.	..
Independent Study Course Total	3	***											
August 24, 2020													Page 154 of 447
* Please note: This report does not combine crosslisted courses													
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.													
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"													
TERM : 1204			Percentage Distribution of Grades								Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison									
""			(Non-Cross Listed)									
HEC												
HUMAN DEVEL & FAMILY STUDI Section	"#"	Ave	A AB B BC C D	F	S/SD	U/UD	CR	N	P	I	NW	NR Other
230 HDFS	Grades	GPA										
230 HDFS Dept. Total	1075	3.872	78.6 10.0 5.1 0.7 0.3 .	0.1	4.5	0.2	.	.	0.4	0.1	0.1	.  .
Summary by Level	"#"	Ave	A AB B BC C D	F	S/SD	U/UD	CR	N	P	I	NW	NR Other
GPA230 HDFS	Grades											
Freshmen	25	3.750	68.0 8.0 20.0 .  .  .	.	.	4.0	.	.	.		.  .	.  .
Sophomore	98	3.838	75.5 13.3 9.2 .  .  .	.	2.0	.	.	.	.		.  .	.  .
Junior	309	3.853	77.0 13.6 4.9 0.3 0.3 .	0.3	3.6	.	.	.	.		.  .	.  .
Senior	581	3.886	81.4 8.8 4.3 1.0 0.3 .	.	3.6	0.2	.	.	.	0.2	0.2	.  .
Undergraduates	1013	3.868	79.2 10.7 5.3 0.7 0.3 .	0.1	3.4	0.2	.	.	.	0.1	0.1	.  .
Special	1	***					.	.	.		.  .	.  .
Graduate	60	3.975	68.3 .  1.7 .  .  .	.	23.3	.	.	.	6.7		.  .	.  .
Prof Yr 3	1	***					.	.	.		.  .	.  .
Professionals	1	***					.	.	.		.  .	.  .
Dept. Total	1075	3.872	78.6 10.0 5.1 0.7 0.3 .	0.1	4.5	0.2	.	.	0.4	0.1	0.1	.  .
August 24, 2020												Page 155 of 447
* Please note: This report does not combine crosslisted courses												
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.												
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"												
TERM : 1204			Percentage Distribution of Grades									Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison										
""			(Non-Cross Listed)										
HEC													
CIVIL SOC & COMMUNITY STUDI Section	"#"	Ave	A AB B BC C D	F	S/SD	U/UD	CR	N	P		I	NW	NR Other
247 CSCS Grades		GPA											
Community and Social Change 125 001	70	3.831	78.6 12.9 4.3 ...	1.4	2.9	.	.	.	.		.	.	..
Community Newswriting 130 001	43	3.953	95.3 2.3 .2.3 ..	.	.	.	.	.	.		.	.	..
CNPL Leadership Symposium 254 001	110	3.943	86.4 9.1 0.9 ...	.	0.9	1.8	.	.	.		0.9	.	..
Independent Study 299 004	3	***					.	.	.		.	.	..
Nonprofit Sector: Overview 300 001	47	3.933	83.0 12.8 ....	.	.	.	.	.	.		4.3	.	..
Evaluation and Planning 345 001	28	3.750	71.4 10.7 7.1 ..3.6	.	7.1	.	.	.	.		.	.	..
Special Topics 375 001	32	3.783	78.1 9.4 3.1 ...	3.1	6.3	.	.	.	.		.	.	..
Civil Soc & Commnty Leadership 460 001	27	3.460	51.9 14.8 14.8 3.7 3.7 .	3.7	7.4	.	.	.	.		.	.	..
Community Based Resrch & Eval 570 001	29	3.063	34.5 6.9 10.3 17.2 3.4 10.3	.	6.9	10.3	.	.	.		.	.	..
Community Issues and Action 600 001	34	3.810	67.6 8.8 2.9 5.9 ..	.	11.8	2.9	.	.	.		.	.	..
Internship 601 001	25	4.000	100.0 .....	.	.	.	.	.	.		.	.	..
699 004	26	3.943	92.3 7.7 ....	.	.	.	.	.	.		.	.	..
699 016	1	***					.	.	.		.	.	..
699 018	1	***					.	.	.		.	.	..
699 038	3	***					.	.	.		.	.	..
699 058	1	***					.	.	.		.	.	..
699 059	6	4.000	100.0 .....	.	.	.	.	.	.		.	.	..
699 061	1	***					.	.	.		.	.	..
Independent Study Course Total	39	3.968	94.9 5.1 .  .  .  .	.	.	.	.	.	.			.  .	.  .
Civic Development 785 001	14	4.000	100.0 .....	.	.	.	.	.	.		.	.	..
Civil Soc & Community Research 801 001	4	***					.	.	.		.	.	..
Transformative Evaluation 813 001	10	3.563	30.0 30.0 20.0 ...	.	.	.	.	.	.		.	.	20.0 .
990 005	5	***					.	.	.		.	.	..
990 009	3	***					.	.	.		.	.	..
990 016	4	***					.	.	.		.	.	..
990 038	4	***					.	.	.		.	.	..
990 053	1	***					.	.	.		.	.	..
990 061	1	***					.	.	.		.	.	..
Research and Thesis Course Total	18		.  .  .  .  .  .	.	94.4	.	.	.	5.6			.  .	.  .
999 017	1	***					.	.	.		.	.	..
999 018	1	***					.	.	.		.	.	..
999 038	1	***					.	.	.		.	.	..
999 060	1	***					.	.	.		.	.	..
Independent Study Course Total	4	***											
August 24, 2020													Page 156 of 447
* Please note: This report does not combine crosslisted courses													
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.													
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"													
TERM : 1204			Percentage Distribution of Grades								Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison									
""			(Non-Cross Listed)									
HEC												
CIVIL SOC & COMMUNITY STUDI Section	"#"	Ave	A AB B BC C D	F	S/SD	U/UD	CR	N	P	I	NW	NR Other
247 CSCS	Grades	GPA										
247 CSCS Dept. Total	537	3.804	76.2 8.6 3.4 1.7 0.4 0.7	0.6	6.3	1.1	.	.	0.2	0.6	.	0.4 .
Summary by Level	"#"	Ave	A AB B BC C D	F	S/SD	U/UD	CR	N	P	I	NW	NR Other
GPA247 CSCS	Grades											
Freshmen	25	3.821	72.0 20.0 8.0 .  .  .	.	.	.	.	.	.		.  .	.  .
Sophomore	83	3.924	86.7 10.8 1.2 .  .  .	.	1.2	.	.	.	.		.  .	.  .
Junior	126	3.747	78.6 6.3 2.4 3.2 0.8 1.6	0.8	4.0	1.6	.	.	.	0.8	.	.  .
Senior	246	3.785	78.0 8.5 3.7 2.0 0.4 0.8	0.8	3.7	1.2	.	.	.	0.8	.	.  .
Undergraduates	480	3.801	79.4 9.0 3.1 1.9 0.4 0.8	0.6	3.1	1.0	.	.	.	0.6	.	.  .
Special	1	***					.	.	.		.  .	.  .
Graduate	55	3.844	49.1 5.5 5.5 .  .  .	.	34.5	.	.	.	1.8		.  .	3.6 .
Prof Yr 4	1	***					.	.	.		.  .	.  .
Professionals	1	***					.	.	.		.  .	.  .
Dept. Total	537	3.804	76.2 8.6 3.4 1.7 0.4 0.7	0.6	6.3	1.1	.	.	0.2	0.6	.	0.4 .
August 24, 2020												Page 157 of 447
* Please note: This report does not combine crosslisted courses												
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.												
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"												
TERM : 1204			Percentage Distribution of Grades										Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison											
""			(Non-Cross Listed)											
HEC														
CONSUMER SCIENCE Section	"#"	Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P		I	NW	NR Other
271 CNSR SCI Grades		GPA												
111 001	43	3.890	79.1 11.6 4.7 ...	.		4.7	.	.	.	.		.	.	..
111 002	44	3.965	90.9 6.8 ....	.		2.3	.	.	.	.		.	.	..
111 003	43	3.963	86.0 7.0 ....	.		7.0	.	.	.	.		.	.	..
111 004	43	3.964	93.0 2.3 2.3 ...	.		2.3	.	.	.	.		.	.	..
Finc'l Life Skills Undergrads Course Total	173	3.946	87.3 6.9 1.7 .  .  .		.	4.0	.	.	.		.		.  .	.  .
Consuming Happiness 173 001	120	3.668	42.5 35.0 10.8 0.8 ..	.		10.0	0.8	.	.	.		.	.	..
201 001	77	3.700	55.8 20.8 10.4 2.6 1.3 .	.		9.1	.	.	.	.		.	.	..
201 002	70	3.750	52.9 32.9 4.3 1.4 ..	.		8.6	.	.	.	.		.	.	..
Consumer Research & Analysis Course Total	147	3.724	54.4 26.5 7.5 2.0 0.7 .		.	8.8	.	.	.		.		.  .	.  .
Retail Leadership Symposium 250 001	120	3.875	76.7 6.7 4.2 2.5 ..	.		10.0	.	.	.	.		.	.	..
Finc'l Svcs Leadership Sympos 251 001	114	3.894	82.5 7.0 5.3 0.9 ..	.		4.4	.	.	.	.		.	.	..
Introduction to Retailing 257 001	132	3.867	78.0 13.6 3.8 1.5 ..	.		2.3	0.8	.	.	.		.	.	..
275 001	70	3.500	27.1 30.0 24.3 1.4 ..	.		17.1	.	.	.	.		.	.	..
275 002	99	3.683	55.6 26.3 6.1 5.1 .1.0	.		6.1	.	.	.	.		.	.	..
Consumer Finance Course Total	169	3.613	43.8 27.8 13.6 3.6 .  0.6		.	10.7	.	.	.		.		.  .	.  .
301 001	46	3.625	39.1 45.7 6.5 4.3 ..	.		4.3	.	.	.	.		.	.	..
301 002	46	3.622	41.3 39.1 17.4 ...	.		2.2	.	.	.	.		.	.	..
Advanced Consumer Analytics Course Total	92	3.624	40.2 42.4 12.0 2.2 .  .		.	3.3	.	.	.		.		.  .	.  .
321 001	41	3.900	87.8 4.9 2.4 .2.4 .	.		2.4	.	.	.	.		.	.	..
321 002	41	3.927	87.8 9.8 2.4 ...	.		.	.	.	.	.		.	.	..
321 003	42	3.915	88.1 7.1 ..2.4 .	.		2.4	.	.	.	.		.	.	..
321 004	39	3.782	69.2 20.5 7.7 2.6 ..	.		.	.	.	.	.		.	.	..
Finc'l Life Skills After Grad Course Total	163	3.882	83.4 10.4 3.1 0.6 1.2 .		.	1.2	.	.	.		.		.  .	.  .
